Asset,Equal_Weight,Minimum_Volatility,Maximum_Sharpe
RELIANCE.NS,0.25,0.1931208213716016,0.5651489107636465
TCS.NS,0.25,0.3189555841190928,0.0
HDFCBANK.NS,0.25,0.375459221719242,3.122502256758253e-17
INFY.NS,0.25,0.11246437279006362,0.4348510892363535
