Portfolio,Return,Volatility,Sharpe_Ratio
Equal Weight,0.14191841222380358,0.18743781278483726,0.4370431505079447
Minimum Volatility,0.12967648211835453,0.18352660615214564,0.37965330247861684
Maximum Sharpe,0.1736027174379569,0.22147315475144658,0.5129412527014853
