Open,High,Low,Close,Volume,MA20,MA50,Return,Volatility,RSI,MACD,MACD_Signal,MACD_Histogram,Volume_Change
1446.4749755859375,1461.5250244140625,1437.5250244140625,1443.449951171875,3668668,1499.853759765625,1476.5520092773438,3.458968890668324e-05,0.0175965446515058,33.87631259109675,-0.1501700684461866,9.84343290741024,-9.993602975856428,-0.9583423804066612
1447.5,1451.2750244140625,1427.800048828125,1434.8499755859375,2348906,1498.8012573242188,1478.7930078125,-0.0059579312597264,0.0171554113173279,31.626635970170327,-4.999517547133792,6.874842816501435,-11.874360363635226,-0.3597387389646597
1434.4000244140625,1436.0,1402.5,1412.8499755859375,7197482,1496.2975036621094,1480.7380078125,-0.0153326134260245,0.0174110006778121,25.461141117661768,-10.49687505838915,3.400499241523318,-13.89737429991247,2.0641847736776184
1414.5,1424.0,1410.0,1415.5,3489940,1493.7462524414063,1482.6615087890625,0.0018756587464026,0.017404318789607,28.685224048782487,-14.472901074821948,-0.1741808217457352,-14.298720253076212,-0.5151165365887681
1410.0,1436.5999755859375,1409.5,1432.425048828125,4024984,1492.2775024414063,1484.7390087890626,0.011956940182356,0.0176600073682951,32.034412955465584,-16.072941482320857,-3.35393295386076,-12.719008528460098,0.1533103720980877
1436.25,1442.1500244140625,1425.0,1428.375,3907678,1490.0775024414063,1486.4145092773438,-0.0028274071522543,0.0175601941406702,31.982616083970957,-17.466447788077176,-6.176435920704043,-11.290011867373131,-0.0291444636798555
1429.9749755859375,1437.9749755859375,1411.2750244140625,1415.675048828125,2326094,1484.803753662109,1487.5840112304688,-0.0088911883587118,0.0156227484870717,30.06474407809857,-19.372279912701742,-8.815604719103584,-10.556675193598158,-0.4047375449051841
1401.0,1417.050048828125,1399.0250244140625,1409.074951171875,3654122,1479.0025024414062,1488.6755102539062,-0.0046621558116133,0.0155586197708533,18.904006206427027,-21.171190023801277,-11.286721780043123,-9.88446824375815,0.570926196447779
1409.5,1413.699951171875,1390.7750244140625,1408.5,2964210,1472.5325012207031,1488.7795092773438,-0.0004080344848915,0.0153172730552894,21.82429793568018,-22.3851904604669,-13.50641551612788,-8.878774944339023,-0.1888037673618997
1412.5,1431.5,1411.5250244140625,1423.8499755859375,2494574,1467.9325012207032,1489.3515087890626,0.0108981012324724,0.0154829116148097,28.398018942105693,-21.856729041193372,-15.17647822114098,-6.680250820052397,-0.1584354684722068
1417.949951171875,1437.5,1412.5,1424.574951171875,6865654,1463.102496337891,1490.0795068359375,0.0005091657115343,0.0154307937566618,30.35531158001838,-21.135779973183844,-16.36833857154955,-4.767441401634294,1.752235050954592
1420.0,1457.0,1420.0,1454.824951171875,1662988,1459.9674926757812,1491.7150048828123,0.0212344039708938,0.0163685231827727,35.33636033083718,-17.91696483473561,-16.678063824186765,-1.2389010105488438,-0.7577815602126178
1446.050048828125,1464.949951171875,1446.050048828125,1455.625,1937290,1456.8062438964844,1492.31900390625,0.0005499278985285,0.0163657198331712,32.72861778905143,-15.127097627899277,-16.367870584929268,1.2407729570299928,0.1649452671937501
1464.7249755859375,1467.0,1446.0,1455.449951171875,2841820,1451.9324890136718,1492.5385034179687,-0.0001202568162301,0.0153386382768896,54.96085610989438,-12.782879664354368,-15.65087240081429,2.8679927364599216,0.4669048000041293
1463.2750244140625,1481.875,1460.175048828125,1478.9749755859375,1809424,1449.8112365722657,1492.9360034179688,0.0161634032108908,0.0153563653379148,62.25633345602821,-8.92392769220055,-14.305483459091542,5.381555766890992,-0.3632869076859195
1477.0,1480.0,1463.2750244140625,1475.1500244140625,1129018,1447.8824890136718,1492.8460034179689,-0.0025862176406058,0.0153346251004829,64.37745512189599,-6.103959400751592,-12.665178647423554,6.561219246671962,-0.3760345833812307
1469.8499755859375,1481.75,1457.5,1461.949951171875,1235866,1445.8812377929687,1490.921003417969,-0.0089482920541797,0.0153637014889151,68.69048094786254,-4.878019039012997,-11.107746725741444,6.229727686728445,0.0946379951426814
1462.8499755859375,1478.625,1462.8499755859375,1468.800048828125,1184532,1443.4687377929688,1489.277004394531,0.0046855897158168,0.0152028217254831,69.66061734754527,-3.315487956365814,-9.549294971866315,6.233807015500503,-0.0415368656472465
1475.300048828125,1512.5,1472.800048828125,1507.074951171875,3124416,1442.5187377929688,1487.6725024414063,0.0260586200104551,0.0163437825271604,73.78898427325052,0.9997692093847944,-7.439482135616095,8.43925134500089,1.6376796912198237
1505.0,1575.0,1503.9749755859375,1569.625,6114360,1448.8299865722656,1487.854501953125,0.0415042720864593,0.013573110146129,82.7878142855038,9.359022801781748,-4.079781148136527,13.438803949918274,0.9569609168561422
1575.0,1620.4000244140625,1566.050048828125,1576.6500244140625,8179118,1455.489990234375,1487.3990014648436,0.0044756068577287,0.0135361602073202,88.3775913540143,16.36204083681241,0.0085832488532608,16.353457587959152,0.3376899626453136
1558.0,1599.9749755859375,1555.375,1593.824951171875,6270274,1463.438739013672,1487.7469995117187,0.0108933032010039,0.0133738424171259,91.93144781010452,23.032353502068418,4.613337299496292,18.419016202572124,-0.2333801761999276
1593.824951171875,1597.4749755859375,1573.5999755859375,1583.300048828125,3301724,1471.9612426757812,1488.2894995117188,-0.0066035497411502,0.0127931219622221,87.95875110274159,27.156311631162907,9.121932165829616,18.03437946533329,-0.473432261492879
1583.0,1596.7249755859375,1572.925048828125,1579.550048828125,2433066,1480.1637451171875,1488.4944995117187,-0.0023684708421347,0.0128962162888242,85.60486070363632,29.778714021409087,13.253288536945512,16.525425484463575,-0.2630922511996763
1589.949951171875,1608.5999755859375,1582.875,1595.574951171875,4820952,1488.321240234375,1488.8694995117187,0.0101452324069371,0.0128553321712425,86.54627819827417,32.77228401245452,17.157087632047315,15.615196380407204,0.9814308366480812
1625.0,1711.175048828125,1620.0,1701.2249755859375,18465662,1501.9637390136718,1491.8619995117188,0.0662143914558619,0.018525291301864,89.82544752870241,43.17212245998007,22.360094597633868,20.81202786234621,2.830293684732808
1712.0,1778.949951171875,1694.7750244140625,1704.324951171875,15185910,1516.3962341308593,1495.9759985351564,0.0018222020193829,0.0181333873881903,89.90053410919391,51.07544553586604,28.103164785280303,22.97228075058573,-0.1776135618641779
1705.0,1721.574951171875,1671.25,1692.824951171875,8314336,1530.5837341308593,1500.2819970703124,-0.0067475395417362,0.0182247089098213,86.74821699214985,55.76807249804574,33.636146327833394,22.131926170212346,-0.4524966893653392
1692.5,1741.5,1682.5250244140625,1735.125,8196574,1546.9149841308597,1505.2424975585936,0.024987845789278,0.0183916333402036,87.47624226902627,62.183461363557626,39.34560933497824,22.837852028579384,-0.0141637287692005
1733.5,1780.0,1733.5,1769.625,12135034,1564.2037353515625,1510.917998046875,0.0198832937108277,0.0185076876301164,89.53481016288609,69.25325649906085,45.32713876779477,23.92611773126609,0.4805007555595788
1762.5,1772.0,1710.0,1725.9749755859375,4501330,1579.2737365722655,1515.7644970703125,-0.0246662566442396,0.0200563715694829,82.7676207773052,70.52100565197634,50.36591214463108,20.155093507345256,-0.6290632560238397
1725.9749755859375,1774.5,1718.800048828125,1766.050048828125,3458558,1594.834991455078,1521.9674975585938,0.0232188031744682,0.0201205707276684,84.080497574548,73.90747016828732,55.07422374936233,18.833246418924983,-0.2316586431121469
1765.25,1766.0999755859375,1735.6500244140625,1749.875,3158046,1609.5474914550782,1527.7064965820311,-0.0091588847319803,0.0204727799962511,79.3236773947011,74.42811545069412,58.94500208962869,15.483113361065437,-0.0868893914747128
1754.9000244140625,1763.0,1735.199951171875,1740.925048828125,3761550,1623.821246337891,1533.1944970703123,-0.0051146231427244,0.0206254538352729,73.76527403505492,73.27388855054187,61.81077938181133,11.46310916873054,0.1911004462886227
1746.0,1748.5,1735.0,1740.375,2347244,1636.8912475585937,1538.76599609375,-0.0003159520442854,0.0206614702040374,73.12990174014685,71.49067111768863,63.74675772898679,7.743913388701841,-0.3759902167989259
1745.0,1745.0,1705.449951171875,1710.4749755859375,3484426,1648.6574951171874,1543.5279956054687,-0.0171802194435466,0.0213160753911293,65.9075435219838,66.8936678068651,64.37613974456247,2.517528062302631,0.484475410310986
1717.3499755859375,1743.25,1698.3499755859375,1720.5999755859375,2992820,1661.5899963378906,1547.5169946289063,0.0059194084359706,0.0209634828562233,68.74401105748352,63.33739834332073,64.16839146431413,-0.8309931209933978,-0.1410866524357239
